Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
1084,528228465,20,RL,43,3182,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,0,Gd,TA,PConc,Gd,TA,Av,ALQ,0,ALQ,0,148,0,GasA,Ex,Y,SBrkr,1266,0,0,334,0,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,1938,Fin,2,388,TA,TA,Y,100,16,0,0,0,0,NA,NA,NA,0,3,2008,WD ,Normal,159895
762,904100190,20,RL,50,4280,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,4,9,1946,2001,Gable,CompShg,MetalSd,MetalSd,BrkFace,0,Gd,Gd,CBlock,Gd,TA,Mn,BLQ,150,ALQ,0,355,0,GasA,Ex,Y,FuseA,704,0,0,407,0,0,1,0,2,1,Fa,4,Typ,0,NA,CarPort,1948,Unf,1,220,TA,TA,Y,0,0,24,0,0,0,NA,NA,NA,0,9,2009,WD ,Normal,88750
1902,534450090,20,RL,50,5000,Pave,NA,Reg,Low,AllPub,Inside,Mod,BrkSide,Norm,Norm,1Fam,1Story,1,3,1946,1950,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Fa,Slab,Gd,TA,Mn,BLQ,162,ALQ,0,402,0,GasA,Fa,N,FuseF,334,0,0,438,0,0,1,0,1,1,Fa,2,Typ,0,NA,NA,1952,NA,0,0,NA,NA,N,0,0,0,0,0,0,NA,NA,NA,0,1,2007,WD ,Normal,39300
1903,534450110,20,RL,50,5000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,3,3,1946,1950,Gable,CompShg,WdShing,Wd Shng,None,0,TA,Fa,CBlock,Gd,TA,Mn,BLQ,402,ALQ,0,416,0,GasA,Fa,N,SBrkr,666,0,0,480,1,0,1,0,2,1,Gd,4,Typ,0,NA,NA,1952,NA,0,0,NA,NA,N,0,52,0,0,0,0,NA,MnPrv,NA,0,4,2007,WD ,Normal,64500
1905,534453080,20,RL,50,5175,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Feedr,1Fam,1Story,5,8,1958,2000,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,Gd,TA,Mn,BLQ,492,ALQ,0,418,0,GasA,Ex,Y,SBrkr,808,0,0,492,1,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,1954,Unf,1,308,TA,TA,N,143,0,0,0,0,0,NA,NA,NA,0,7,2007,COD,Normal,112000
2597,535376090,20,RL,90,5400,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,7,1954,2000,Gable,CompShg,MetalSd,MetalSd,None,0,TA,Gd,CBlock,Gd,TA,NA,BLQ,509,ALQ,0,419,0,GasA,Ex,Y,SBrkr,833,0,0,498,0,0,1,0,2,1,Gd,4,Typ,0,NA,Detchd,1954,Unf,1,326,TA,TA,Y,0,0,0,0,0,0,NA,MnPrv,NA,0,8,2006,WD ,Normal,117000
2081,905475270,20,RL,60,5400,Pave,NA,Reg,HLS,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1Story,5,5,1958,1958,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,Gd,TA,NA,BLQ,660,ALQ,0,527,0,GasA,TA,Y,SBrkr,864,0,0,520,0,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,1954,Unf,1,399,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,5,2007,WD ,Normal,118000
655,535375010,20,RL,53,5470,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,3,5,1958,1958,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,Gd,TA,NA,BLQ,890,ALQ,0,671,0,GasA,Gd,Y,FuseA,792,0,0,540,0,0,1,0,2,1,TA,4,Typ,0,NA,Attchd,1955,Unf,1,366,Fa,TA,Y,0,90,0,0,0,0,NA,NA,NA,0,8,2009,WD ,Normal,99900
2705,904302030,20,RL,50,5500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1Story,7,5,2004,2004,Shed,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,NA,BLQ,897,ALQ,0,768,0,GasA,Ex,Y,SBrkr,1073,0,0,599,1,0,2,0,2,1,TA,4,Typ,0,NA,Detchd,1955,Unf,1,246,TA,TA,Y,0,120,0,0,0,0,NA,NA,NA,0,5,2006,WD ,Normal,157000
174,902110090,20,RM,69,5805,Pave,Grvl,Reg,Bnk,AllPub,Inside,Mod,OldTown,Norm,Norm,1Fam,1Story,5,7,1957,1957,Hip,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,Gd,TA,No,BLQ,0,ALQ,0,836,0,GasA,Gd,Y,SBrkr,1347,0,0,605,1,0,1,0,3,1,Gd,6,Typ,0,NA,Detchd,1956,Unf,2,551,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,6,2010,WD ,Normal,143000
