Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
1084,528228465,20,5,43,3182,1,0,3,0,3,0,2,0,2,2,0,0,7,5,2007,2007,1,1,14,14,2,0,3,2,3,4,3,3,5,0,5,0,148,0,1,4,1,5,1266,0,0,334,0,0,2,0,2,1,3,6,7,1,4,2,1938,3,2,388,3,3,2,100,16,0,0,0,0,0.0,0,0,0,3,2008,0,0,159895
762,904100190,20,5,50,4280,1,0,2,0,3,0,2,22,2,2,0,0,4,9,1946,2001,1,1,8,8,2,0,3,3,4,4,3,2,4,150,5,0,355,0,1,4,1,4,704,0,0,407,0,0,1,0,2,1,1,4,7,0,0,5,1948,1,1,220,3,3,2,0,0,24,0,0,0,0.0,0,0,0,9,2009,0,0,88750
1902,534450090,20,5,50,5000,1,0,3,3,3,0,1,3,2,2,0,0,1,3,1946,1950,1,1,14,14,0,0,2,1,2,4,3,2,4,162,5,0,402,0,1,1,0,3,334,0,0,438,0,0,1,0,1,1,1,2,7,0,0,0,1952,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,2007,0,0,39300
1903,534450110,20,5,50,5000,1,0,3,0,3,0,2,3,2,2,0,0,3,3,1946,1950,1,1,16,15,0,0,2,1,4,4,3,2,4,402,5,0,416,0,1,1,0,5,666,0,0,480,1,0,1,0,2,1,3,4,7,0,0,0,1952,0,0,0,0,0,0,0,52,0,0,0,0,0.0,3,0,0,4,2007,0,0,64500
1905,534453080,20,5,50,5175,1,0,3,0,3,0,2,3,4,1,0,0,5,8,1958,2000,1,1,14,14,0,0,2,2,4,4,3,2,4,492,5,0,418,0,1,4,1,5,808,0,0,492,1,0,1,0,2,1,2,5,7,0,0,6,1954,1,1,308,3,3,0,143,0,0,0,0,0,0.0,0,0,0,7,2007,4,0,112000
2597,535376090,20,5,90,5400,1,0,3,0,3,0,2,20,2,2,0,0,5,7,1954,2000,1,1,8,8,0,0,2,3,4,4,3,0,4,509,5,0,419,0,1,4,1,5,833,0,0,498,0,0,1,0,2,1,3,4,7,0,0,6,1954,1,1,326,3,3,2,0,0,0,0,0,0,0.0,3,0,0,8,2006,0,0,117000
2081,905475270,20,5,60,5400,1,0,3,2,3,0,2,21,2,2,0,0,5,5,1958,1958,1,1,8,8,0,0,2,2,4,4,3,0,4,660,5,0,527,0,1,2,1,5,864,0,0,520,0,0,1,0,3,1,2,6,7,0,0,2,1954,1,1,399,3,3,2,0,0,0,0,0,0,0.0,0,0,0,5,2007,0,0,118000
655,535375010,20,5,53,5470,1,0,3,0,3,0,2,20,2,2,0,0,3,5,1958,1958,1,1,8,8,0,0,2,2,4,4,3,0,4,890,5,0,671,0,1,3,1,4,792,0,0,540,0,0,1,0,2,1,2,4,7,0,0,2,1955,1,1,366,2,3,2,0,90,0,0,0,0,0.0,0,0,0,8,2009,0,0,99900
2705,904302030,20,5,50,5500,1,0,3,0,3,0,2,21,2,2,0,0,7,5,2004,2004,5,1,14,14,0,0,2,2,3,4,3,0,4,897,5,0,768,0,1,4,1,5,1073,0,0,599,1,0,2,0,2,1,2,4,7,0,0,6,1955,1,1,246,3,3,2,0,120,0,0,0,0,0.0,0,0,0,5,2006,0,0,157000
174,902110090,20,7,69,5805,1,1,3,1,3,0,1,20,2,2,0,0,5,7,1957,1957,3,1,8,8,0,0,2,2,4,4,3,1,4,0,5,0,836,0,1,3,1,5,1347,0,0,605,1,0,1,0,3,1,3,6,7,0,0,6,1956,1,2,551,3,3,2,0,0,0,0,0,0,0.0,0,0,0,6,2010,0,0,143000
2656,902207080,20,7,49,5820,1,0,3,0,3,0,2,20,2,2,0,0,3,8,1955,2005,1,1,14,14,0,0,2,3,4,4,3,1,4,846,5,0,1017,0,1,4,1,5,1163,0,0,612,0,0,1,0,3,1,2,6,7,0,0,2,1956,1,1,220,2,3,2,142,98,0,0,0,0,0.0,0,0,0,7,2006,0,0,126175
